user_id,channel,variant,clicked_at,device_type,region,viewed_lp,signed_up,purchased,revenue,ad_cost
user_1,Google,A,2025-07-12 20:03:27.785935,Desktop,Asia,1,0,0,0.0,0.95
user_2,Meta,A,2025-06-23 12:00:46.207007,Mobile,Asia,1,0,0,0.0,4.25
user_3,Google,B,2025-06-16 12:11:47.515218,Tablet,North America,1,1,1,128.72,2.3
user_4,Google,B,2025-06-21 17:02:30.363938,Desktop,Europe,1,1,0,0.0,3.17
user_5,Google,A,2025-06-14 10:15:13.634766,Mobile,Europe,1,0,0,0.0,3.03
user_6,Google,B,2025-07-04 17:57:36.068775,Desktop,North America,1,1,0,0.0,0.65
user_7,Organic,B,2025-06-13 04:24:27.875993,Desktop,Asia,1,1,0,0.0,0.0
user_8,Google,B,2025-06-14 07:51:06.794308,Mobile,South America,0,0,0,0.0,3.19
user_9,Organic,B,2025-07-06 16:18:50.099629,Mobile,North America,0,0,0,0.0,0.0
user_10,LinkedIn,A,2025-07-03 12:37:20.944841,Desktop,Asia,1,1,0,0.0,1.13
user_11,LinkedIn,A,2025-07-10 17:54:04.927079,Desktop,Europe,1,1,1,79.83,3.7
user_12,LinkedIn,A,2025-06-21 04:52:01.711274,Desktop,Europe,1,0,0,0.0,3.3
user_13,Google,B,2025-06-30 03:32:05.377633,Desktop,North America,1,0,0,0.0,1.74
user_14,Meta,A,2025-06-19 21:23:52.286058,Desktop,Asia,1,0,0,0.0,3.97
user_15,Meta,A,2025-07-10 02:32:31.300523,Mobile,Europe,1,1,0,0.0,2.64
user_16,Meta,B,2025-06-23 23:53:15.387193,Tablet,Europe,1,0,0,0.0,1.53
user_17,Google,A,2025-07-01 09:03:56.389417,Mobile,Asia,1,1,1,118.48,1.48
user_18,Meta,B,2025-06-29 03:26:22.803766,Mobile,Asia,0,0,0,0.0,1.93
user_19,Google,A,2025-07-09 03:23:37.798044,Mobile,Europe,1,0,0,0.0,1.24
user_20,Meta,B,2025-06-24 18:51:50.400878,Desktop,Europe,1,0,0,0.0,1.95
user_21,Meta,A,2025-06-21 23:15:36.401496,Desktop,Europe,1,1,0,0.0,3.71
user_22,Google,B,2025-07-12 08:00:22.172301,Desktop,North America,1,1,0,0.0,4.59
user_23,Google,B,2025-06-19 08:00:31.059546,Mobile,Europe,1,0,0,0.0,0.86
user_24,Google,A,2025-06-28 21:31:22.458759,Mobile,Europe,1,0,0,0.0,2.91
user_25,Google,A,2025-07-04 08:10:34.710804,Desktop,North America,1,0,0,0.0,1.97
user_26,Google,B,2025-06-13 01:26:04.379703,Mobile,Europe,1,1,0,0.0,2.24
user_27,Organic,A,2025-07-01 18:35:02.856087,Mobile,Asia,1,0,0,0.0,0.0
user_28,Meta,A,2025-07-06 01:35:51.616996,Mobile,Asia,1,0,0,0.0,1.59
user_29,Google,B,2025-07-05 10:09:51.147722,Mobile,Asia,1,1,0,0.0,4.31
user_30,LinkedIn,B,2025-06-20 15:51:00.493335,Mobile,North America,1,1,0,0.0,3.23
user_31,Google,B,2025-07-09 20:36:13.029658,Tablet,South America,1,0,0,0.0,2.69
user_32,Meta,A,2025-07-12 04:59:01.800886,Desktop,Asia,1,0,0,0.0,3.86
user_33,Meta,A,2025-06-16 00:03:18.374450,Mobile,Europe,1,0,0,0.0,3.36
user_34,Google,B,2025-06-19 15:22:30.431538,Tablet,Europe,0,0,0,0.0,3.34
user_35,LinkedIn,B,2025-06-28 17:50:52.425009,Mobile,North America,0,0,0,0.0,1.54
user_36,Meta,B,2025-07-12 07:28:51.595043,Desktop,North America,1,0,0,0.0,4.79
user_37,Organic,A,2025-06-29 09:42:56.941205,Mobile,South America,1,0,0,0.0,0.0
user_38,Meta,B,2025-06-23 02:17:57.984023,Mobile,Europe,1,0,0,0.0,1.93
user_39,Google,A,2025-06-30 04:58:53.501544,Desktop,Asia,0,0,0,0.0,0.82
user_40,Google,A,2025-07-03 13:14:38.631329,Tablet,Europe,1,0,0,0.0,3.83
user_41,Meta,A,2025-06-19 15:46:56.929085,Mobile,North America,1,0,0,0.0,1.65
user_42,Meta,B,2025-07-03 04:22:43.367070,Mobile,North America,1,0,0,0.0,3.66
user_43,LinkedIn,B,2025-06-29 14:52:25.200212,Mobile,Europe,1,0,0,0.0,3.52
user_44,Google,B,2025-06-13 22:01:51.017119,Mobile,Europe,1,1,1,173.39,2.12
user_45,Google,A,2025-07-09 01:20:42.006696,Mobile,Europe,0,0,0,0.0,2.56
user_46,LinkedIn,B,2025-06-22 20:18:29.452413,Mobile,North America,1,0,0,0.0,4.89
user_47,Meta,B,2025-07-04 14:34:01.583021,Desktop,Europe,1,0,0,0.0,1.63
user_48,Google,B,2025-06-23 21:38:04.100220,Mobile,North America,1,1,1,87.54,2.97
user_49,LinkedIn,B,2025-07-09 23:29:10.252012,Tablet,North America,1,0,0,0.0,2.46
user_50,LinkedIn,A,2025-06-24 02:09:18.376141,Desktop,Europe,1,1,1,56.9,0.68
user_51,LinkedIn,B,2025-06-15 16:00:24.043569,Desktop,Europe,1,0,0,0.0,2.06
user_52,Meta,A,2025-07-06 07:27:29.867300,Desktop,North America,1,1,0,0.0,3.32
user_53,Meta,A,2025-07-02 04:42:45.374230,Mobile,North America,1,0,0,0.0,4.75
user_54,LinkedIn,B,2025-06-21 06:18:33.229925,Tablet,North America,1,0,0,0.0,2.56
user_55,Meta,A,2025-06-25 22:17:19.803528,Mobile,Asia,1,1,0,0.0,1.47
user_56,Google,A,2025-07-02 10:14:29.682965,Desktop,North America,1,0,0,0.0,4.3
user_57,Google,B,2025-06-21 15:15:05.347065,Desktop,Europe,1,0,0,0.0,4.71
user_58,Google,A,2025-07-05 22:36:39.564219,Mobile,Europe,1,0,0,0.0,4.13
user_59,Organic,B,2025-06-29 16:40:49.711802,Desktop,Europe,1,0,0,0.0,0.0
user_60,Meta,B,2025-06-19 03:25:23.040713,Desktop,Asia,1,1,0,0.0,2.77
user_61,LinkedIn,B,2025-06-15 23:16:23.979543,Desktop,Europe,1,0,0,0.0,4.31
user_62,Google,B,2025-07-05 20:10:06.905485,Tablet,South America,1,0,0,0.0,2.52
user_63,Google,A,2025-06-21 15:13:16.447068,Mobile,Europe,0,0,0,0.0,4.02
user_64,Google,A,2025-07-11 14:56:35.980834,Desktop,Europe,1,0,0,0.0,4.49
user_65,Google,B,2025-07-01 12:53:30.342037,Tablet,North America,1,0,0,0.0,4.27
user_66,Meta,B,2025-06-15 21:50:21.368092,Desktop,Asia,1,1,1,198.0,2.18
user_67,Google,B,2025-06-20 10:21:08.857124,Desktop,South America,1,0,0,0.0,3.69
user_68,Meta,B,2025-07-07 05:27:19.999280,Mobile,Europe,0,0,0,0.0,1.0
user_69,Meta,A,2025-07-01 14:42:31.014407,Desktop,North America,1,0,0,0.0,4.2
user_70,LinkedIn,A,2025-06-27 14:36:58.219770,Mobile,South America,1,1,0,0.0,1.51
user_71,Organic,B,2025-06-20 03:10:04.363501,Tablet,North America,1,1,0,0.0,0.0
user_72,Organic,B,2025-06-22 09:29:12.878453,Mobile,South America,1,0,0,0.0,0.0
user_73,Meta,A,2025-06-22 04:41:23.878397,Tablet,North America,1,0,0,0.0,4.62
user_74,Organic,B,2025-06-21 11:53:38.531561,Mobile,Europe,1,1,1,119.55,0.0
user_75,Google,B,2025-06-27 23:37:34.545810,Desktop,Europe,1,0,0,0.0,0.65
user_76,Google,A,2025-06-15 22:56:21.161527,Mobile,North America,1,0,0,0.0,4.2
user_77,Organic,B,2025-07-08 17:30:04.726166,Mobile,South America,1,0,0,0.0,0.0
user_78,Meta,A,2025-06-13 01:09:50.416535,Desktop,Europe,1,0,0,0.0,1.18
user_79,Meta,A,2025-06-20 09:20:35.810221,Desktop,Asia,1,1,1,70.08,0.56
user_80,Google,B,2025-06-20 23:08:20.470093,Mobile,South America,0,0,0,0.0,3.0
user_81,LinkedIn,A,2025-06-28 20:16:54.720774,Mobile,Europe,1,1,0,0.0,1.74
user_82,Google,A,2025-06-24 06:27:20.194902,Mobile,North America,1,1,0,0.0,2.84
user_83,LinkedIn,A,2025-06-18 23:00:48.903929,Desktop,Asia,0,0,0,0.0,0.9
user_84,LinkedIn,A,2025-07-03 07:38:48.874512,Desktop,Europe,1,0,0,0.0,3.67
user_85,Google,B,2025-06-19 06:39:25.667586,Mobile,South America,1,0,0,0.0,3.0
user_86,Google,B,2025-07-07 20:48:06.804709,Desktop,North America,1,0,0,0.0,3.3
user_87,LinkedIn,A,2025-07-08 08:31:55.332641,Mobile,Europe,1,0,0,0.0,0.8
user_88,Google,B,2025-07-08 23:28:17.723831,Desktop,Europe,1,1,1,69.33,1.08
user_89,Google,B,2025-07-08 08:05:29.124592,Mobile,Europe,1,0,0,0.0,4.43
user_90,Meta,B,2025-06-19 22:16:50.713898,Desktop,Europe,1,1,0,0.0,1.3
user_91,Google,A,2025-06-20 23:02:55.446630,Mobile,Europe,0,0,0,0.0,1.08
user_92,Google,A,2025-07-01 16:12:23.052595,Desktop,Asia,1,1,0,0.0,4.64
user_93,Google,B,2025-06-13 22:02:32.886068,Mobile,Europe,1,0,0,0.0,2.91
user_94,Organic,B,2025-07-01 15:25:20.843079,Mobile,Europe,1,0,0,0.0,0.0
user_95,Google,B,2025-06-22 11:07:25.044317,Desktop,North America,1,0,0,0.0,0.64
user_96,LinkedIn,B,2025-07-01 03:24:31.549362,Mobile,Europe,1,0,0,0.0,0.59
user_97,Google,A,2025-07-10 17:52:28.300689,Desktop,North America,1,0,0,0.0,2.63
