user_id,conversion_timestamp,conversion_value,journey_length,first_channel,last_channel
1,2023-04-15 23:09:02.787439,71.18,4,Display,Paid Search
2,2023-07-26 09:18:59.182327,118.07,8,Social,Paid Search
4,2023-09-22 07:00:00.000000,158.4,1,Display,Display
5,2023-02-21 01:56:19.912252,108.48,6,Display,Direct
7,2023-07-11 02:44:02.626666,143.35,3,Display,Direct
8,2023-09-29 14:25:35.712292,126.33,6,Social,Email
9,2023-05-15 07:56:03.211113,335.88,4,Content,Display
12,2023-02-14 22:49:48.964694,53.92,2,Display,Paid Search
13,2023-05-16 06:16:25.706051,52.03,5,Paid Search,Display
14,2023-06-11 21:11:01.802640,142.23,6,Display,Email
17,2023-09-11 12:23:26.233643,91.29,4,Email,Paid Search
18,2023-12-25 21:39:29.255116,49.47,5,Display,Email
19,2023-06-01 21:07:35.441129,102.51,3,Social,Direct
21,2023-06-18 17:06:53.490955,133.07,4,Display,Content
22,2023-12-06 01:58:34.053276,111.3,3,Content,Display
23,2023-02-09 21:50:17.897899,144.07,3,Content,Paid Search
24,2023-10-12 21:36:59.829831,91.93,3,Content,Direct
25,2023-02-07 10:33:18.927747,84.05,8,Content,Paid Search
28,2023-10-05 11:08:33.937828,175.11,5,Display,Content
29,2023-05-27 08:56:20.070396,147.54,5,Display,Email
30,2023-11-27 08:27:21.511208,62.48,2,Content,Email
31,2024-01-02 01:08:51.598270,100.31,2,Content,Paid Search
34,2023-10-12 12:36:19.363841,47.92,3,Social,Email
35,2023-10-04 04:55:30.795083,142.44,3,Social,Display
39,2023-10-20 06:22:15.590918,81.35,2,Display,Direct
40,2023-06-18 13:22:38.677701,92.8,6,Content,Social
41,2023-09-10 08:00:00.000000,195.87,1,Social,Social
44,2023-02-07 09:03:42.108357,55.11,2,Social,Paid Search
46,2023-03-18 23:47:44.605687,164.43,3,Direct,Paid Search
47,2023-03-02 01:58:27.190817,49.49,4,Email,Email
50,2023-05-31 03:52:20.963716,169.96,6,Direct,Paid Search
53,2023-12-26 10:55:45.009878,132.35,3,Social,Paid Search
55,2023-09-10 02:09:28.163852,106.75,3,Display,Paid Search
57,2023-08-03 04:19:55.603256,86.21,8,Direct,Email
58,2023-05-12 20:36:22.817175,72.47,5,Display,Email
59,2023-09-21 21:03:56.801343,75.86,8,Social,Direct
60,2023-02-08 16:46:35.569509,51.9,4,Display,Paid Search
62,2023-04-05 10:41:41.947762,114.87,2,Display,Paid Search
64,2023-10-17 04:03:37.620163,134.27,4,Social,Email
65,2023-01-23 19:18:02.704308,93.18,4,Content,Paid Search
66,2023-10-03 07:03:22.972933,93.47,3,Content,Email
67,2023-02-01 21:38:12.278541,58.12,5,Content,Paid Search
